INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
DEBUG:root:Layer: embedding.weight, Weight before backpropMean: 4.4523872929858044e-05, Weight Std: 1.0000399351119995, Weight Norm: 4957.61669921875
DEBUG:root:Layer: layers.1.norm2.weight, Gradient Mean: -0.0001561488606967032, Gradient Std: 0.00028739473782479763, Gradient Norm: 0.009059617295861244
DEBUG:root:Layer: layers.1.norm2.bias, Gradient Mean: 1.7384561942890286e-05, Gradient Std: 0.0002849576994776726, Gradient Norm: 0.007906528189778328
DEBUG:root:Layer: layers.1.norm2.bias, Gradient Mean: 1.7384561942890286e-05, Gradient Std: 0.0002849576994776726, Gradient Norm: 0.007906528189778328
DEBUG:root:Layer: layers.2.attention.query.weight, Gradient Mean: -2.6053234209225638e-14, Gradient Std: 3.605064921430312e-05, Gradient Norm: 0.02768687531352043
DEBUG:root:Layer: layers.2.attention.query.weight, Gradient Mean: -2.6053234209225638e-14, Gradient Std: 3.605064921430312e-05, Gradient Norm: 0.02768687531352043
DEBUG:root:Layer: layers.2.attention.query.bias, Gradient Mean: 1.4881404695188394e-06, Gradient Std: 2.903767381212674e-05, Gradient Norm: 0.0008052482735365629
DEBUG:root:Layer: layers.2.attention.query.bias, Gradient Mean: 1.4881404695188394e-06, Gradient Std: 2.903767381212674e-05, Gradient Norm: 0.0008052482735365629
DEBUG:root:Layer: layers.2.attention.key.weight, Gradient Mean: -4.282993637484342e-14, Gradient Std: 3.579141775844619e-05, Gradient Norm: 0.02748778648674488
DEBUG:root:Layer: layers.2.attention.key.weight, Gradient Mean: -4.282993637484342e-14, Gradient Std: 3.579141775844619e-05, Gradient Norm: 0.02748778648674488
DEBUG:root:Layer: layers.2.attention.key.bias, Gradient Mean: -1.5720758028692217e-13, Gradient Std: 8.978489826616531e-12, Gradient Norm: 2.486953143421289e-10
DEBUG:root:Layer: layers.2.attention.key.bias, Gradient Mean: -1.5720758028692217e-13, Gradient Std: 8.978489826616531e-12, Gradient Norm: 2.486953143421289e-10
DEBUG:root:Layer: layers.2.attention.value.weight, Gradient Mean: -1.7684619502307541e-13, Gradient Std: 0.0002659118617884815, Gradient Norm: 0.20422014594078064
DEBUG:root:Layer: layers.2.attention.value.weight, Gradient Mean: -1.7684619502307541e-13, Gradient Std: 0.0002659118617884815, Gradient Norm: 0.20422014594078064
DEBUG:root:Layer: layers.2.attention.value.bias, Gradient Mean: 1.1068417734350078e-05, Gradient Std: 0.0004214992804918438, Gradient Norm: 0.011677351780235767
DEBUG:root:Layer: layers.2.attention.value.bias, Gradient Mean: 1.1068417734350078e-05, Gradient Std: 0.0004214992804918438, Gradient Norm: 0.011677351780235767
DEBUG:root:Layer: layers.2.attention.out.weight, Gradient Mean: 4.290784971772155e-08, Gradient Std: 0.00025172537425532937, Gradient Norm: 0.19332493841648102
DEBUG:root:Layer: layers.2.attention.out.weight, Gradient Mean: 4.290784971772155e-08, Gradient Std: 0.00025172537425532937, Gradient Norm: 0.19332493841648102
DEBUG:root:Layer: layers.2.attention.out.bias, Gradient Mean: 7.275957614183426e-12, Gradient Std: 0.00041930374572984874, Gradient Norm: 0.011612518690526485
DEBUG:root:Layer: layers.2.attention.out.bias, Gradient Mean: 7.275957614183426e-12, Gradient Std: 0.00041930374572984874, Gradient Norm: 0.011612518690526485
DEBUG:root:Layer: layers.2.ffn.linear1.weight, Gradient Mean: 2.1000485150770437e-13, Gradient Std: 0.0001942839298862964, Gradient Norm: 0.2984200417995453
DEBUG:root:Layer: layers.2.ffn.linear1.weight, Gradient Mean: 2.1000485150770437e-13, Gradient Std: 0.0001942839298862964, Gradient Norm: 0.2984200417995453
DEBUG:root:Layer: layers.2.ffn.linear1.bias, Gradient Mean: -2.4502227461198345e-05, Gradient Std: 0.00017870358715299517, Gradient Norm: 0.00999582838267088
DEBUG:root:Layer: layers.2.ffn.linear1.bias, Gradient Mean: -2.4502227461198345e-05, Gradient Std: 0.00017870358715299517, Gradient Norm: 0.00999582838267088
DEBUG:root:Layer: layers.2.ffn.linear2.weight, Gradient Mean: -5.0508383253600186e-08, Gradient Std: 0.0001936013431986794, Gradient Norm: 0.29737159609794617
DEBUG:root:Layer: layers.2.ffn.linear2.weight, Gradient Mean: -5.0508383253600186e-08, Gradient Std: 0.0001936013431986794, Gradient Norm: 0.29737159609794617
DEBUG:root:Layer: layers.2.ffn.linear2.bias, Gradient Mean: 7.57912309301556e-12, Gradient Std: 0.00037983732181601226, Gradient Norm: 0.01051950454711914
DEBUG:root:Layer: layers.2.ffn.linear2.bias, Gradient Mean: 7.57912309301556e-12, Gradient Std: 0.00037983732181601226, Gradient Norm: 0.01051950454711914
DEBUG:root:Layer: layers.2.norm1.weight, Gradient Mean: 4.5877182856202126e-05, Gradient Std: 0.0002704700455069542, Gradient Norm: 0.007597735151648521
DEBUG:root:Layer: layers.2.norm1.weight, Gradient Mean: 4.5877182856202126e-05, Gradient Std: 0.0002704700455069542, Gradient Norm: 0.007597735151648521
DEBUG:root:Layer: layers.2.norm1.bias, Gradient Mean: 3.79122025151446e-06, Gradient Std: 0.0004216056549921632, Gradient Norm: 0.011676741763949394
DEBUG:root:Layer: layers.2.norm1.bias, Gradient Mean: 3.79122025151446e-06, Gradient Std: 0.0004216056549921632, Gradient Norm: 0.011676741763949394
DEBUG:root:Layer: layers.2.norm2.weight, Gradient Mean: -0.00012878603592980653, Gradient Std: 0.00024099428264889866, Gradient Norm: 0.007568615488708019
DEBUG:root:Layer: layers.2.norm2.weight, Gradient Mean: -0.00012878603592980653, Gradient Std: 0.00024099428264889866, Gradient Norm: 0.007568615488708019
DEBUG:root:Layer: layers.2.norm2.bias, Gradient Mean: 7.630478648934513e-06, Gradient Std: 0.0002294626901857555, Gradient Norm: 0.006358432583510876
DEBUG:root:Layer: layers.2.norm2.bias, Gradient Mean: 7.630478648934513e-06, Gradient Std: 0.0002294626901857555, Gradient Norm: 0.006358432583510876
DEBUG:root:Layer: layers.3.attention.query.weight, Gradient Mean: 6.315935476036054e-15, Gradient Std: 2.9428252673824318e-05, Gradient Norm: 0.022600878030061722
DEBUG:root:Layer: layers.3.attention.query.weight, Gradient Mean: 6.315935476036054e-15, Gradient Std: 2.9428252673824318e-05, Gradient Norm: 0.022600878030061722
DEBUG:root:Layer: layers.3.attention.query.bias, Gradient Mean: -7.915507467259886e-07, Gradient Std: 2.5290810299338773e-05, Gradient Norm: 0.0007007664535194635
DEBUG:root:Layer: layers.3.attention.query.bias, Gradient Mean: -7.915507467259886e-07, Gradient Std: 2.5290810299338773e-05, Gradient Norm: 0.0007007664535194635
DEBUG:root:Layer: layers.3.attention.key.weight, Gradient Mean: -5.526443594471107e-15, Gradient Std: 3.0105413316050544e-05, Gradient Norm: 0.02312093786895275
DEBUG:root:Layer: layers.3.attention.key.weight, Gradient Mean: -5.526443594471107e-15, Gradient Std: 3.0105413316050544e-05, Gradient Norm: 0.02312093786895275
DEBUG:root:Layer: layers.3.attention.key.bias, Gradient Mean: 1.0384286475411536e-13, Gradient Std: 8.771034246124465e-12, Gradient Norm: 2.4292873268549897e-10
DEBUG:root:Layer: layers.3.attention.key.bias, Gradient Mean: 1.0384286475411536e-13, Gradient Std: 8.771034246124465e-12, Gradient Norm: 2.4292873268549897e-10
DEBUG:root:Layer: layers.3.attention.value.weight, Gradient Mean: -8.210715907088634e-14, Gradient Std: 0.00021561355970334262, Gradient Norm: 0.16559109091758728
DEBUG:root:Layer: layers.3.attention.value.weight, Gradient Mean: -8.210715907088634e-14, Gradient Std: 0.00021561355970334262, Gradient Norm: 0.16559109091758728
DEBUG:root:Layer: layers.3.attention.value.bias, Gradient Mean: 1.3655646398547105e-05, Gradient Std: 0.000317618774715811, Gradient Norm: 0.008804514072835445
DEBUG:root:Layer: layers.3.attention.value.bias, Gradient Mean: 1.3655646398547105e-05, Gradient Std: 0.000317618774715811, Gradient Norm: 0.008804514072835445
DEBUG:root:Layer: layers.3.attention.out.weight, Gradient Mean: -2.1325295307406122e-08, Gradient Std: 0.00022854580311104655, Gradient Norm: 0.17552302777767181
DEBUG:root:Layer: layers.3.attention.out.weight, Gradient Mean: -2.1325295307406122e-08, Gradient Std: 0.00022854580311104655, Gradient Norm: 0.17552302777767181
DEBUG:root:Layer: layers.3.attention.out.bias, Gradient Mean: 5.760133255788835e-12, Gradient Std: 0.00033417509985156357, Gradient Norm: 0.00925490166991949
DEBUG:root:Layer: layers.3.attention.out.bias, Gradient Mean: 5.760133255788835e-12, Gradient Std: 0.00033417509985156357, Gradient Norm: 0.00925490166991949
DEBUG:root:Layer: layers.3.ffn.linear1.weight, Gradient Mean: 1.6895127874852478e-13, Gradient Std: 0.0001724490721244365, Gradient Norm: 0.2648817300796509
DEBUG:root:Layer: layers.3.ffn.linear1.weight, Gradient Mean: 1.6895127874852478e-13, Gradient Std: 0.0001724490721244365, Gradient Norm: 0.2648817300796509
DEBUG:root:Layer: layers.3.ffn.linear1.bias, Gradient Mean: -1.9334202079335228e-05, Gradient Std: 0.00015357858501374722, Gradient Norm: 0.008578002452850342
DEBUG:root:Layer: layers.3.ffn.linear1.bias, Gradient Mean: -1.9334202079335228e-05, Gradient Std: 0.00015357858501374722, Gradient Norm: 0.008578002452850342
DEBUG:root:Layer: layers.3.ffn.linear2.weight, Gradient Mean: -1.6661942936480045e-08, Gradient Std: 0.0001679305569268763, Gradient Norm: 0.25794127583503723
DEBUG:root:Layer: layers.3.ffn.linear2.weight, Gradient Mean: -1.6661942936480045e-08, Gradient Std: 0.0001679305569268763, Gradient Norm: 0.25794127583503723
DEBUG:root:Layer: layers.3.ffn.linear2.bias, Gradient Mean: 6.972793002713029e-12, Gradient Std: 0.00030631088884547353, Gradient Norm: 0.008483207784593105
DEBUG:root:Layer: layers.3.ffn.linear2.bias, Gradient Mean: 6.972793002713029e-12, Gradient Std: 0.00030631088884547353, Gradient Norm: 0.008483207784593105
DEBUG:root:Layer: layers.3.norm1.weight, Gradient Mean: 3.733025732799433e-05, Gradient Std: 0.0002397536300122738, Gradient Norm: 0.006720028817653656
DEBUG:root:Layer: layers.3.norm1.weight, Gradient Mean: 3.733025732799433e-05, Gradient Std: 0.0002397536300122738, Gradient Norm: 0.006720028817653656
DEBUG:root:Layer: layers.3.norm1.bias, Gradient Mean: 8.836672350298613e-06, Gradient Std: 0.00032089685555547476, Gradient Norm: 0.008890536613762379
DEBUG:root:Layer: layers.3.norm1.bias, Gradient Mean: 8.836672350298613e-06, Gradient Std: 0.00032089685555547476, Gradient Norm: 0.008890536613762379
DEBUG:root:Layer: layers.3.norm2.weight, Gradient Mean: -0.00010127334098797292, Gradient Std: 0.0002114069793606177, Gradient Norm: 0.0064927879720926285
DEBUG:root:Layer: layers.3.norm2.weight, Gradient Mean: -0.00010127334098797292, Gradient Std: 0.0002114069793606177, Gradient Norm: 0.0064927879720926285
DEBUG:root:Layer: layers.3.norm2.bias, Gradient Mean: -3.969410897752823e-07, Gradient Std: 0.0001934719184646383, Gradient Norm: 0.005358170717954636
DEBUG:root:Layer: layers.3.norm2.bias, Gradient Mean: -3.969410897752823e-07, Gradient Std: 0.0001934719184646383, Gradient Norm: 0.005358170717954636
DEBUG:root:Layer: layers.4.attention.query.weight, Gradient Mean: -6.019875861630521e-15, Gradient Std: 2.0980905901524238e-05, Gradient Norm: 0.016113322228193283
DEBUG:root:Layer: layers.4.attention.query.weight, Gradient Mean: -6.019875861630521e-15, Gradient Std: 2.0980905901524238e-05, Gradient Norm: 0.016113322228193283
DEBUG:root:Layer: layers.4.attention.query.bias, Gradient Mean: 8.709045573596086e-07, Gradient Std: 1.766297464200761e-05, Gradient Norm: 0.0004897669423371553
DEBUG:root:Layer: layers.4.attention.query.bias, Gradient Mean: 8.709045573596086e-07, Gradient Std: 1.766297464200761e-05, Gradient Norm: 0.0004897669423371553
DEBUG:root:Layer: layers.4.attention.key.weight, Gradient Mean: 4.046146369476389e-15, Gradient Std: 2.0475783458095975e-05, Gradient Norm: 0.01572538912296295
DEBUG:root:Layer: layers.4.attention.key.weight, Gradient Mean: 4.046146369476389e-15, Gradient Std: 2.0475783458095975e-05, Gradient Norm: 0.01572538912296295
DEBUG:root:Layer: layers.4.attention.key.bias, Gradient Mean: -4.877579934457581e-14, Gradient Std: 8.399865004948825e-12, Gradient Norm: 2.3263620196889434e-10
DEBUG:root:Layer: layers.4.attention.key.bias, Gradient Mean: -4.877579934457581e-14, Gradient Std: 8.399865004948825e-12, Gradient Norm: 2.3263620196889434e-10
DEBUG:root:Layer: layers.4.attention.value.weight, Gradient Mean: 1.8947806851624636e-14, Gradient Std: 0.00020100634719710797, Gradient Norm: 0.15437273681163788
DEBUG:root:Layer: layers.4.attention.value.weight, Gradient Mean: 1.8947806851624636e-14, Gradient Std: 0.00020100634719710797, Gradient Norm: 0.15437273681163788
DEBUG:root:Layer: layers.4.attention.value.bias, Gradient Mean: -4.5587574959427e-07, Gradient Std: 0.00028386947815306485, Gradient Norm: 0.007861708290874958
DEBUG:root:Layer: layers.4.attention.value.bias, Gradient Mean: -4.5587574959427e-07, Gradient Std: 0.00028386947815306485, Gradient Norm: 0.007861708290874958
DEBUG:root:Layer: layers.4.attention.out.weight, Gradient Mean: -7.294905235433191e-10, Gradient Std: 0.00018713159079197794, Gradient Norm: 0.1437169462442398
DEBUG:root:Layer: layers.4.attention.out.weight, Gradient Mean: -7.294905235433191e-10, Gradient Std: 0.00018713159079197794, Gradient Norm: 0.1437169462442398
DEBUG:root:Layer: layers.4.attention.out.bias, Gradient Mean: 6.59383658785373e-12, Gradient Std: 0.00026722403708845377, Gradient Norm: 0.007400707341730595
DEBUG:root:Layer: layers.4.attention.out.bias, Gradient Mean: 6.59383658785373e-12, Gradient Std: 0.00026722403708845377, Gradient Norm: 0.007400707341730595
DEBUG:root:Layer: layers.4.ffn.linear1.weight, Gradient Mean: 1.2395023429954272e-13, Gradient Std: 0.00015749009617138654, Gradient Norm: 0.24190473556518555
DEBUG:root:Layer: layers.4.ffn.linear1.weight, Gradient Mean: 1.2395023429954272e-13, Gradient Std: 0.00015749009617138654, Gradient Norm: 0.24190473556518555
DEBUG:root:Layer: layers.4.ffn.linear1.bias, Gradient Mean: -2.438463707221672e-05, Gradient Std: 0.00013324736210051924, Gradient Norm: 0.007506785448640585
DEBUG:root:Layer: layers.4.ffn.linear1.bias, Gradient Mean: -2.438463707221672e-05, Gradient Std: 0.00013324736210051924, Gradient Norm: 0.007506785448640585
DEBUG:root:Layer: layers.4.ffn.linear2.weight, Gradient Mean: -3.812930415847404e-08, Gradient Std: 0.00014565051242243499, Gradient Norm: 0.22371913492679596
DEBUG:root:Layer: layers.4.ffn.linear2.weight, Gradient Mean: -3.812930415847404e-08, Gradient Std: 0.00014565051242243499, Gradient Norm: 0.22371913492679596
DEBUG:root:Layer: layers.4.ffn.linear2.bias, Gradient Mean: 6.366462912410498e-12, Gradient Std: 0.0002472107589710504, Gradient Norm: 0.00684644328430295
DEBUG:root:Layer: layers.4.ffn.linear2.bias, Gradient Mean: 6.366462912410498e-12, Gradient Std: 0.0002472107589710504, Gradient Norm: 0.00684644328430295
DEBUG:root:Layer: layers.4.norm1.weight, Gradient Mean: 4.260031710145995e-05, Gradient Std: 0.00020175200188532472, Gradient Norm: 0.005710833705961704
DEBUG:root:Layer: layers.4.norm1.weight, Gradient Mean: 4.260031710145995e-05, Gradient Std: 0.00020175200188532472, Gradient Norm: 0.005710833705961704
DEBUG:root:Layer: layers.4.norm1.bias, Gradient Mean: -1.465704144720803e-06, Gradient Std: 0.0002878282975871116, Gradient Norm: 0.007971440441906452
DEBUG:root:Layer: layers.4.norm1.bias, Gradient Mean: -1.465704144720803e-06, Gradient Std: 0.0002878282975871116, Gradient Norm: 0.007971440441906452
DEBUG:root:Layer: layers.4.norm2.weight, Gradient Mean: -0.00011148389603476971, Gradient Std: 0.000196173379663378, Gradient Norm: 0.00624999450519681
DEBUG:root:Layer: layers.4.norm2.weight, Gradient Mean: -0.00011148389603476971, Gradient Std: 0.000196173379663378, Gradient Norm: 0.00624999450519681
DEBUG:root:Layer: layers.4.norm2.bias, Gradient Mean: -7.851014743209817e-06, Gradient Std: 0.0001693585654720664, Gradient Norm: 0.004695389419794083
DEBUG:root:Layer: layers.4.norm2.bias, Gradient Mean: -7.851014743209817e-06, Gradient Std: 0.0001693585654720664, Gradient Norm: 0.004695389419794083
DEBUG:root:Layer: layers.5.attention.query.weight, Gradient Mean: 8.881784197001252e-16, Gradient Std: 1.582295044499915e-05, Gradient Norm: 0.012152017094194889
DEBUG:root:Layer: layers.5.attention.query.weight, Gradient Mean: 8.881784197001252e-16, Gradient Std: 1.582295044499915e-05, Gradient Norm: 0.012152017094194889
DEBUG:root:Layer: layers.5.attention.query.bias, Gradient Mean: 8.884449016477447e-07, Gradient Std: 1.203030114993453e-05, Gradient Norm: 0.00033408484887331724
DEBUG:root:Layer: layers.5.attention.query.bias, Gradient Mean: 8.884449016477447e-07, Gradient Std: 1.203030114993453e-05, Gradient Norm: 0.00033408484887331724
DEBUG:root:Layer: layers.5.attention.key.weight, Gradient Mean: 3.0099379308152607e-15, Gradient Std: 1.597513801243622e-05, Gradient Norm: 0.012268895283341408
DEBUG:root:Layer: layers.5.attention.key.weight, Gradient Mean: 3.0099379308152607e-15, Gradient Std: 1.597513801243622e-05, Gradient Norm: 0.012268895283341408
DEBUG:root:Layer: layers.5.attention.key.bias, Gradient Mean: -4.195162826067106e-13, Gradient Std: 8.320567325414974e-12, Gradient Norm: 2.3072924126843475e-10
DEBUG:root:Layer: layers.5.attention.key.bias, Gradient Mean: -4.195162826067106e-13, Gradient Std: 8.320567325414974e-12, Gradient Norm: 2.3072924126843475e-10
DEBUG:root:Layer: layers.5.attention.value.weight, Gradient Mean: -1.0105496761657687e-13, Gradient Std: 0.00016773265087977052, Gradient Norm: 0.1288185715675354
DEBUG:root:Layer: layers.5.attention.value.weight, Gradient Mean: -1.0105496761657687e-13, Gradient Std: 0.00016773265087977052, Gradient Norm: 0.1288185715675354
DEBUG:root:Layer: layers.5.attention.value.bias, Gradient Mean: 1.2135106771893334e-05, Gradient Std: 0.00022771071235183626, Gradient Norm: 0.006315354723483324
DEBUG:root:Layer: layers.5.attention.value.bias, Gradient Mean: 1.2135106771893334e-05, Gradient Std: 0.00022771071235183626, Gradient Norm: 0.006315354723483324
DEBUG:root:Layer: layers.5.attention.out.weight, Gradient Mean: -1.473585076183781e-08, Gradient Std: 0.00016600800154265016, Gradient Norm: 0.12749403715133667
DEBUG:root:Layer: layers.5.attention.out.weight, Gradient Mean: -1.473585076183781e-08, Gradient Std: 0.00016600800154265016, Gradient Norm: 0.12749403715133667
DEBUG:root:Layer: layers.5.attention.out.bias, Gradient Mean: 2.5769017995835863e-12, Gradient Std: 0.00022246009029913694, Gradient Norm: 0.006160980090498924
DEBUG:root:Layer: layers.5.attention.out.bias, Gradient Mean: 2.5769017995835863e-12, Gradient Std: 0.00022246009029913694, Gradient Norm: 0.006160980090498924
DEBUG:root:Layer: layers.5.ffn.linear1.weight, Gradient Mean: 1.0421293683690255e-13, Gradient Std: 0.00014261742762755603, Gradient Norm: 0.21906031668186188
DEBUG:root:Layer: layers.5.ffn.linear1.weight, Gradient Mean: 1.0421293683690255e-13, Gradient Std: 0.00014261742762755603, Gradient Norm: 0.21906031668186188
DEBUG:root:Layer: layers.5.ffn.linear1.bias, Gradient Mean: -2.0738079911097884e-05, Gradient Std: 0.00011706223449436948, Gradient Norm: 0.006588233634829521
DEBUG:root:Layer: layers.5.ffn.linear1.bias, Gradient Mean: -2.0738079911097884e-05, Gradient Std: 0.00011706223449436948, Gradient Norm: 0.006588233634829521
DEBUG:root:Layer: layers.5.ffn.linear2.weight, Gradient Mean: 7.904478849241059e-08, Gradient Std: 0.00013223304995335639, Gradient Norm: 0.2031099647283554
DEBUG:root:Layer: layers.5.ffn.linear2.weight, Gradient Mean: 7.904478849241059e-08, Gradient Std: 0.00013223304995335639, Gradient Norm: 0.2031099647283554
DEBUG:root:Layer: layers.5.ffn.linear2.bias, Gradient Mean: 4.092726157978177e-12, Gradient Std: 0.00020414548635017127, Gradient Norm: 0.005653760861605406
DEBUG:root:Layer: layers.5.ffn.linear2.bias, Gradient Mean: 4.092726157978177e-12, Gradient Std: 0.00020414548635017127, Gradient Norm: 0.005653760861605406
DEBUG:root:Layer: layers.5.norm1.weight, Gradient Mean: 3.951320468331687e-05, Gradient Std: 0.00017994048539549112, Gradient Norm: 0.005102297756820917
DEBUG:root:Layer: layers.5.norm1.weight, Gradient Mean: 3.951320468331687e-05, Gradient Std: 0.00017994048539549112, Gradient Norm: 0.005102297756820917
DEBUG:root:Layer: layers.5.norm1.bias, Gradient Mean: -1.1957899914705195e-05, Gradient Std: 0.00023956950462888926, Gradient Norm: 0.006643092259764671
DEBUG:root:Layer: layers.5.norm1.bias, Gradient Mean: -1.1957899914705195e-05, Gradient Std: 0.00023956950462888926, Gradient Norm: 0.006643092259764671
DEBUG:root:Layer: layers.5.norm2.weight, Gradient Mean: -9.558177407598123e-05, Gradient Std: 0.00018051186634693295, Gradient Norm: 0.005657622590661049
DEBUG:root:Layer: layers.5.norm2.weight, Gradient Mean: -9.558177407598123e-05, Gradient Std: 0.00018051186634693295, Gradient Norm: 0.005657622590661049
DEBUG:root:Layer: layers.5.norm2.bias, Gradient Mean: 6.504487373604206e-06, Gradient Std: 0.00014927789743524045, Gradient Norm: 0.0041381437331438065
DEBUG:root:Layer: layers.5.norm2.bias, Gradient Mean: 6.504487373604206e-06, Gradient Std: 0.00014927789743524045, Gradient Norm: 0.0041381437331438065
DEBUG:root:Layer: layers.6.attention.query.weight, Gradient Mean: -6.809367743195469e-15, Gradient Std: 1.3671324268216267e-05, Gradient Norm: 0.010499568656086922
DEBUG:root:Layer: layers.6.attention.query.weight, Gradient Mean: -6.809367743195469e-15, Gradient Std: 1.3671324268216267e-05, Gradient Norm: 0.010499568656086922
DEBUG:root:Layer: layers.6.attention.query.bias, Gradient Mean: -4.179827044481499e-07, Gradient Std: 1.050257014867384e-05, Gradient Norm: 0.00029109674505889416
DEBUG:root:Layer: layers.6.attention.query.bias, Gradient Mean: -4.179827044481499e-07, Gradient Std: 1.050257014867384e-05, Gradient Norm: 0.00029109674505889416
DEBUG:root:Layer: layers.6.attention.key.weight, Gradient Mean: 2.7632217972355533e-15, Gradient Std: 1.3674404726771172e-05, Gradient Norm: 0.010501934215426445
DEBUG:root:Layer: layers.6.attention.key.weight, Gradient Mean: 2.7632217972355533e-15, Gradient Std: 1.3674404726771172e-05, Gradient Norm: 0.010501934215426445
DEBUG:root:Layer: layers.6.attention.key.bias, Gradient Mean: -5.546304518086465e-13, Gradient Std: 1.1473918169746522e-11, Gradient Norm: 3.1813895962073957e-10
DEBUG:root:Layer: layers.6.attention.key.bias, Gradient Mean: -5.546304518086465e-13, Gradient Std: 1.1473918169746522e-11, Gradient Norm: 3.1813895962073957e-10
DEBUG:root:Layer: layers.6.attention.value.weight, Gradient Mean: 6.315935476036054e-15, Gradient Std: 0.0001412226411048323, Gradient Norm: 0.10845889896154404
DEBUG:root:Layer: layers.6.attention.value.weight, Gradient Mean: 6.315935476036054e-15, Gradient Std: 0.0001412226411048323, Gradient Norm: 0.10845889896154404
DEBUG:root:Layer: layers.6.attention.value.bias, Gradient Mean: 7.2212947088701185e-06, Gradient Std: 0.00018772449402604252, Gradient Norm: 0.005202835891395807
DEBUG:root:Layer: layers.6.attention.value.bias, Gradient Mean: 7.2212947088701185e-06, Gradient Std: 0.00018772449402604252, Gradient Norm: 0.005202835891395807
DEBUG:root:Layer: layers.6.attention.out.weight, Gradient Mean: 1.1768444885262852e-08, Gradient Std: 0.0001320576120633632, Gradient Norm: 0.10142016410827637
DEBUG:root:Layer: layers.6.attention.out.weight, Gradient Mean: 1.1768444885262852e-08, Gradient Std: 0.0001320576120633632, Gradient Norm: 0.10142016410827637
DEBUG:root:Layer: layers.6.attention.out.bias, Gradient Mean: 6.6696279575617634e-12, Gradient Std: 0.00018396343511994928, Gradient Norm: 0.005094824358820915
DEBUG:root:Layer: layers.6.attention.out.bias, Gradient Mean: 6.6696279575617634e-12, Gradient Std: 0.00018396343511994928, Gradient Norm: 0.005094824358820915
DEBUG:root:Layer: layers.6.ffn.linear1.weight, Gradient Mean: 1.1763429585889135e-13, Gradient Std: 0.00013305003813002259, Gradient Norm: 0.2043648213148117
DEBUG:root:Layer: layers.6.ffn.linear1.weight, Gradient Mean: 1.1763429585889135e-13, Gradient Std: 0.00013305003813002259, Gradient Norm: 0.2043648213148117
DEBUG:root:Layer: layers.6.ffn.linear1.bias, Gradient Mean: -2.0498888261499815e-05, Gradient Std: 0.00010792195098474622, Gradient Norm: 0.006087631918489933
DEBUG:root:Layer: layers.6.ffn.linear1.bias, Gradient Mean: -2.0498888261499815e-05, Gradient Std: 0.00010792195098474622, Gradient Norm: 0.006087631918489933
DEBUG:root:Layer: layers.6.ffn.linear2.weight, Gradient Mean: 7.178275751584806e-08, Gradient Std: 0.00011957047536270693, Gradient Norm: 0.18366025388240814
DEBUG:root:Layer: layers.6.ffn.linear2.weight, Gradient Mean: 7.178275751584806e-08, Gradient Std: 0.00011957047536270693, Gradient Norm: 0.18366025388240814
DEBUG:root:Layer: layers.6.ffn.linear2.bias, Gradient Mean: 6.518045651826565e-12, Gradient Std: 0.00016848732775542885, Gradient Norm: 0.004666216671466827
DEBUG:root:Layer: layers.6.ffn.linear2.bias, Gradient Mean: 6.518045651826565e-12, Gradient Std: 0.00016848732775542885, Gradient Norm: 0.004666216671466827
DEBUG:root:Layer: layers.6.norm1.weight, Gradient Mean: 3.8104011764517054e-05, Gradient Std: 0.0001488672278355807, Gradient Norm: 0.004255926236510277
DEBUG:root:Layer: layers.6.norm1.weight, Gradient Mean: 3.8104011764517054e-05, Gradient Std: 0.0001488672278355807, Gradient Norm: 0.004255926236510277
DEBUG:root:Layer: layers.6.norm1.bias, Gradient Mean: 1.6772046365076676e-05, Gradient Std: 0.00019789693760685623, Gradient Norm: 0.005500382743775845
DEBUG:root:Layer: layers.6.norm1.bias, Gradient Mean: 1.6772046365076676e-05, Gradient Std: 0.00019789693760685623, Gradient Norm: 0.005500382743775845
DEBUG:root:Layer: layers.6.norm2.weight, Gradient Mean: -9.137157758232206e-05, Gradient Std: 0.00016909095575101674, Gradient Norm: 0.0053236945532262325
DEBUG:root:Layer: layers.6.norm2.weight, Gradient Mean: -9.137157758232206e-05, Gradient Std: 0.00016909095575101674, Gradient Norm: 0.0053236945532262325
DEBUG:root:Layer: layers.6.norm2.bias, Gradient Mean: 6.258883331611287e-06, Gradient Std: 0.0001342439209111035, Gradient Norm: 0.00372189749032259
DEBUG:root:Layer: layers.6.norm2.bias, Gradient Mean: 6.258883331611287e-06, Gradient Std: 0.0001342439209111035, Gradient Norm: 0.00372189749032259
DEBUG:root:Layer: layers.7.attention.query.weight, Gradient Mean: 7.006740819465824e-15, Gradient Std: 1.1627785170276184e-05, Gradient Norm: 0.008930131793022156
DEBUG:root:Layer: layers.7.attention.query.weight, Gradient Mean: 7.006740819465824e-15, Gradient Std: 1.1627785170276184e-05, Gradient Norm: 0.008930131793022156
DEBUG:root:Layer: layers.7.attention.query.bias, Gradient Mean: -3.659698677438428e-08, Gradient Std: 7.70878978073597e-06, Gradient Norm: 0.0002134955138899386
